SAMPLING,POPULATION,TEMPERATURE,PCO2,TREATMENT,SAMPLE #,Male-Stage,Female-Stage,Sex-redo,Dom-Stage-redo,Sex-simple,
APRIL,HL,6,High,6-High,10,0,3,F,3,F,
APRIL,HL,6,High,6-High,11,0,0,I,0,I,
APRIL,HL,6,High,6-High,12,3,0,M,3,M,
APRIL,HL,6,High,6-High,13,4,0,M,4,M,
APRIL,HL,6,High,6-High,14,1,0,M,1,M,
APRIL,HL,6,High,6-High,15,0,2,F,2,F,
APRIL,HL,6,Amb,6-Ambient,16,0,0,I,0,I,
APRIL,HL,6,Amb,6-Ambient,17,3,0,M,3,M,
APRIL,HL,6,Amb,6-Ambient,18,4,3,HPF,3,F,
APRIL,HL,6,Amb,6-Ambient,19,3,0,M,3,M,
APRIL,HL,6,Amb,6-Ambient,20,3,0,M,3,M,
APRIL,HL,6,Amb,6-Ambient,21,3,1,HPM,3,M,
APRIL,HL,10,High,10-High,10,3,3,H,3,H,
APRIL,HL,10,High,10-High,11,3,0,M,3,M,
APRIL,HL,10,High,10-High,12,0,3,F,3,F,
APRIL,HL,10,High,10-High,13,3,0,M,3,M,
APRIL,HL,10,High,10-High,14,0,0,I,0,I,
APRIL,HL,10,High,10-High,15,3,2,HPF,2,F,
APRIL,HL,10,Amb,10-Ambient,16,0,3,F,3,F,
APRIL,HL,10,Amb,10-Ambient,17,3,2,H,3,H,
APRIL,HL,10,Amb,10-Ambient,18,4,0,M,4,M,
APRIL,HL,10,Amb,10-Ambient,19,3,2,H,3,H,
APRIL,HL,10,Amb,10-Ambient,20,4,1,HPF,1,F,
APRIL,HL,10,Amb,10-Ambient,21,3,2,H,3,H,
APRIL,K,6,High,6-High,16,1,0,M,1,M,
APRIL,K,6,High,6-High,17,2,0,M,2,M,
APRIL,K,6,High,6-High,18,4,1,H,1,H,
APRIL,K,6,High,6-High,19,2,1,HPM,2,M,
APRIL,K,6,High,6-High,20,2,4,HPM,2,M,
APRIL,K,6,High,6-High,21,2,0,M,2,M,
APRIL,K,6,High,6-High,22,2,1,HPM,2,M,
APRIL,K,6,High,6-High,23,4,4,H,4,H,
APRIL,K,6,High,6-High,24,1,0,M,1,M,
APRIL,K,6,High,6-High,25,1,1,H,1,H,
APRIL,K,6,High,6-High,26,2,2,H,2,H,
APRIL,K,6,High,6-High,27,4,1,H,1,H,
APRIL,K,6,High,6-High,28,4,1,M,4,M,
APRIL,K,6,High,6-High,29,1,4,HPM,1,M,
APRIL,K,6,High,6-High,30,1,0,M,1,M,
APRIL,K,6,Amb,6-Ambient,31,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,32,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,33,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,34,1,1,HPM,1,M,
APRIL,K,6,Amb,6-Ambient,35,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,36,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,37,2,2,H,2,H,
APRIL,K,6,Amb,6-Ambient,38,4,3,HPF,3,F,
APRIL,K,6,Amb,6-Ambient,39,4,0,M,4,M,
APRIL,K,6,Amb,6-Ambient,40,1,0,M,1,M,
APRIL,K,6,Amb,6-Ambient,41,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,42,2,1,HPM,2,M,
APRIL,K,6,Amb,6-Ambient,43,3,0,M,3,M,
APRIL,K,6,Amb,6-Ambient,44,2,0,M,2,M,
APRIL,K,6,Amb,6-Ambient,45,2,0,M,2,M,
APRIL,K,10,High,10-High,16,4,2,HPF,2,F,
APRIL,K,10,High,10-High,17,1,1,HPM,1,M,
APRIL,K,10,High,10-High,18,2,1,HPM,2,M,
APRIL,K,10,High,10-High,19,2,2,H,2,H,
APRIL,K,10,High,10-High,20,1,0,M,1,M,
APRIL,K,10,High,10-High,21,4,3,HPF,3,F,
APRIL,K,10,High,10-High,22,2,0,M,2,M,
APRIL,K,10,High,10-High,23,3,1,HPM,3,M,
APRIL,K,10,High,10-High,24,2,1,HPM,2,M,
APRIL,K,10,High,10-High,25,2,2,H,2,H,
APRIL,K,10,High,10-High,26,2,2,H,2,H,
APRIL,K,10,High,10-High,27,2,0,M,2,M,
APRIL,K,10,High,10-High,28,2,0,M,2,M,
APRIL,K,10,High,10-High,29,2,1,HPM,2,M,
APRIL,K,10,High,10-High,30,1,1,H,1,H,
APRIL,K,10,Amb,10-Ambient,31,3,0,M,3,M,
APRIL,K,10,Amb,10-Ambient,32,3,0,M,3,M,
APRIL,K,10,Amb,10-Ambient,33,4,3,HPF,3,F,
APRIL,K,10,Amb,10-Ambient,34,2,1,H,2,H,
APRIL,K,10,Amb,10-Ambient,35,1,0,M,1,M,
APRIL,K,10,Amb,10-Ambient,36,1,0,M,1,M,
APRIL,K,10,Amb,10-Ambient,37,0,0,I,0,I,
APRIL,K,10,Amb,10-Ambient,38,1,0,M,1,M,
APRIL,K,10,Amb,10-Ambient,39,0,0,I,0,I,
APRIL,K,10,Amb,10-Ambient,40,3,1,HPM,3,M,
APRIL,K,10,Amb,10-Ambient,41,2,2,H,2,H,
APRIL,K,10,Amb,10-Ambient,42,2,0,M,2,M,
APRIL,K,10,Amb,10-Ambient,43,3,0,M,3,M,
APRIL,K,10,Amb,10-Ambient,44,1,1,HPM,1,M,
APRIL,K,10,Amb,10-Ambient,45,2,1,HPM,2,M,
APRIL,NF,6,High,6-High,16,0,1,F,1,F,
APRIL,NF,6,High,6-High,17,1,1,I,1,I,
APRIL,NF,6,High,6-High,18,4,1,HPM,4,M,
APRIL,NF,6,High,6-High,19,4,0,M,4,M,
APRIL,NF,6,High,6-High,20,3,1,HPM,3,M,
APRIL,NF,6,High,6-High,21,3,1,HPM,3,M,
APRIL,NF,6,High,6-High,22,2,0,M,2,M,
APRIL,NF,6,High,6-High,23,4,2,HPF,2,F,
APRIL,NF,6,High,6-High,24,2,1,HPM,2,M,
APRIL,NF,6,Amb,6-Ambient,25,3,3,HPF,3,F,
APRIL,NF,6,Amb,6-Ambient,26,3,2,HPM,3,M,
APRIL,NF,6,Amb,6-Ambient,27,4,3,HPF,3,F,
APRIL,NF,6,Amb,6-Ambient,28,2,1,HPM,2,M,
APRIL,NF,6,Amb,6-Ambient,29,0,2,F,2,F,
APRIL,NF,6,Amb,6-Ambient,30,0,0,I,0,I,
APRIL,NF,6,Amb,6-Ambient,31,1,0,M,1,M,
APRIL,NF,6,Amb,6-Ambient,32,3,2,HPM,3,M,
APRIL,NF,6,Amb,6-Ambient,33,0,2,F,2,F,
APRIL,NF,10,High,10-High,16,2,0,M,2,M,
APRIL,NF,10,High,10-High,17,2,0,M,2,M,
APRIL,NF,10,High,10-High,18,4,2,HPF,2,F,
APRIL,NF,10,High,10-High,19,2,0,M,2,M,
APRIL,NF,10,High,10-High,20,2,1,HPM,2,M,
APRIL,NF,10,High,10-High,21,3,3,HPF,3,F,
APRIL,NF,10,High,10-High,22,2,2,HPF,2,F,
APRIL,NF,10,High,10-High,23,4,3,HPF,3,F,
APRIL,NF,10,High,10-High,24,3,0,M,3,M,
APRIL,NF,10,Amb,10-Ambient,25,4,3,HPF,3,F,
APRIL,NF,10,Amb,10-Ambient,26,4,1,HPM,4,M,
APRIL,NF,10,Amb,10-Ambient,27,0,0,I,0,I,
APRIL,NF,10,Amb,10-Ambient,28,3,1,HPF,1,F,
APRIL,NF,10,Amb,10-Ambient,29,3,2,HPM,3,M,
APRIL,NF,10,Amb,10-Ambient,30,0,3,F,3,F,
APRIL,NF,10,Amb,10-Ambient,31,4,3,HPF,3,F,
APRIL,NF,10,Amb,10-Ambient,32,4,3,HPF,3,F,
APRIL,NF,10,Amb,10-Ambient,33,3,2,H,3,H,
APRIL,SN,6,High,6-High,16,4,3,HPF,3,F,
APRIL,SN,6,High,6-High,17,4,3,HPF,3,F,
APRIL,SN,6,High,6-High,18,1,1,HPM,1,M,
APRIL,SN,6,High,6-High,19,4,2,HPF,2,F,
APRIL,SN,6,High,6-High,20,1,2,HPF,2,F,
APRIL,SN,6,High,6-High,21,1,1,I,1,I,
